sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_recid,is_violent_recid
Male,69,Other,0,0,0,0,(F3),Aggravated Assault w/Firearm,0,0
Male,69,Other,0,0,0,0,(F3),Aggravated Assault w/Firearm,0,0
Male,31,Caucasian,0,0,0,0,,,-1,0
Male,34,African-American,0,0,0,0,(F3),Felony Battery w/Prior Convict,1,1
Male,24,African-American,0,0,1,4,(F3),Possession of Cocaine,1,0
Male,24,African-American,0,0,1,4,(F3),Possession of Cocaine,1,0
Male,24,African-American,0,0,1,4,(F3),Possession of Cocaine,1,0
Male,24,African-American,0,0,1,4,(F3),Possession of Cocaine,1,0
Male,24,African-American,0,0,1,4,(F3),Possession of Cocaine,1,0
Male,23,African-American,0,1,0,1,(F3),Possession of Cannabis,0,0
Male,43,Other,0,0,0,2,(F7),arrest case no charge,0,0
Male,44,Other,0,0,0,0,(M1),Battery,0,0
Male,41,Caucasian,0,0,0,14,(F3),Possession Burglary Tools,1,0
Male,41,Caucasian,0,0,0,14,(F3),Possession Burglary Tools,1,0
Male,43,Other,0,0,0,3,(F3),arrest case no charge,0,0
Male,43,Other,0,0,0,3,(F3),arrest case no charge,0,0
Male,43,Other,0,0,0,3,(F3),arrest case no charge,0,0
Female,39,Caucasian,0,0,0,0,(M1),Battery,0,0
Male,20,Caucasian,0,0,1,0,(F3),Possession Of Alprazolam,0,0
Male,20,Caucasian,0,0,1,0,(F3),Possession Of Alprazolam,0,0
Male,20,Caucasian,0,0,1,0,(F3),Possession Of Alprazolam,0,0
Female,26,Caucasian,0,0,0,0,(F3),Possession Of Alprazolam,0,0
Female,26,Caucasian,0,0,0,0,(F3),Possession Of Alprazolam,0,0
Female,26,Caucasian,0,0,0,0,(F3),Possession Of Alprazolam,0,0
Male,21,Caucasian,0,0,0,1,(F2),Insurance Fraud,1,1
Male,27,Caucasian,0,0,0,0,(F3),"Poss 3,4 MDMA (Ecstasy)",0,0
Male,23,African-American,0,0,0,3,(M1),Battery,1,0
Female,37,Caucasian,0,0,0,0,(M1),Battery,0,0
Male,22,Caucasian,0,0,0,0,(M1),Battery,0,0
Male,41,African-American,0,0,0,0,(F3),"Poss3,4 Methylenedioxymethcath",0,0
Female,47,Caucasian,0,0,0,1,(F3),arrest case no charge,1,0
Female,47,Caucasian,0,0,0,1,(F3),arrest case no charge,1,0
Male,31,African-American,0,0,0,7,(F3),Felony Driving While Lic Suspd,1,0
Male,31,African-American,0,0,0,7,(F3),Felony Driving While Lic Suspd,1,0
Male,37,Hispanic,0,0,0,0,(M1),Battery,0,0
Male,25,African-American,0,0,0,3,(F3),Grand Theft in the 3rd Degree,0,0
Male,25,African-American,0,0,0,3,(F3),Grand Theft in the 3rd Degree,0,0
Male,31,Caucasian,0,0,0,6,(F3),Driving While License Revoked,1,1
Male,31,Caucasian,0,0,0,5,(F3),Possession Of Heroin,1,0
Male,31,Caucasian,0,0,0,5,(F3),Possession Of Heroin,1,0
Male,31,Caucasian,0,0,0,5,(F3),Possession Of Heroin,1,0
Male,64,African-American,0,0,0,13,(F3),arrest case no charge,1,0
Male,64,African-American,0,0,0,13,(F3),arrest case no charge,1,0
Male,64,African-American,0,0,0,13,(F3),arrest case no charge,1,0
Male,21,African-American,0,0,0,1,(F3),Battery on Law Enforc Officer,1,0
Male,21,African-American,0,0,0,1,(F3),Battery on Law Enforc Officer,1,0
Male,21,African-American,0,0,0,1,(F3),Battery on Law Enforc Officer,1,0
Male,21,African-American,0,0,0,1,(F3),Battery on Law Enforc Officer,1,0
Male,21,African-American,0,0,0,1,(F3),Battery on Law Enforc Officer,1,0
Male,21,African-American,0,0,0,1,(F3),Battery on Law Enforc Officer,1,0
Male,27,Caucasian,0,0,0,0,(M1),Possession Of Methamphetamine,1,0
Female,21,Caucasian,0,0,0,0,(F3),Introduce Contraband Into Jail,0,0
Male,24,African-American,0,0,0,2,(F3),Poss Pyrrolidinovalerophenone,1,0
Male,24,African-American,0,0,0,2,(F3),Poss Pyrrolidinovalerophenone,1,0
Male,24,African-American,0,0,0,2,(F3),Poss Pyrrolidinovalerophenone,1,0
Male,24,African-American,0,0,0,2,(F3),Poss Pyrrolidinovalerophenone,1,0
Male,24,African-American,0,0,0,2,(F3),Poss Pyrrolidinovalerophenone,1,0
Male,24,Hispanic,0,0,0,1,(F3),Lewd/Lasc Battery Pers 12+/<16,1,0
Male,42,Caucasian,0,0,0,1,(F1),Trafficking In Methamphetamine,0,0
Male,43,Caucasian,0,0,0,1,(M2),Susp Drivers Lic 1st Offense,0,0
Male,32,Other,0,0,0,0,(M1),Battery,0,0
Female,54,African-American,0,0,0,0,(F3),"Poss3,4 Methylenedioxymethcath",0,0
Male,44,African-American,0,0,0,8,(M2),arrest case no charge,0,0
Female,49,Caucasian,0,0,0,0,,,-1,0
Male,27,African-American,0,0,0,8,(F3),Carrying Concealed Firearm,1,1
Male,27,African-American,0,0,0,8,(F3),Carrying Concealed Firearm,1,1
Male,27,African-American,0,0,0,8,(F3),Carrying Concealed Firearm,1,1
Male,27,African-American,0,0,0,8,(F3),Carrying Concealed Firearm,1,1
Female,36,Caucasian,0,0,0,3,(F3),arrest case no charge,0,0
Female,36,Caucasian,0,0,0,3,(F3),arrest case no charge,0,0
Male,26,African-American,0,0,1,5,(F3),Pos Cannabis W/Intent Sel/Del,1,0
Male,26,African-American,0,0,1,5,(F3),Pos Cannabis W/Intent Sel/Del,1,0
Male,26,African-American,0,0,1,5,(F3),Pos Cannabis W/Intent Sel/Del,1,0
Male,33,African-American,0,0,0,0,(F3),Tampering With Physical Evidence,1,1
Male,33,African-American,0,0,0,0,(F3),Tampering With Physical Evidence,1,1
Male,30,Caucasian,0,0,0,9,(F3),Felony Battery w/Prior Convict,1,0
Male,30,Caucasian,0,0,0,9,(F3),Felony Battery w/Prior Convict,1,0
Male,32,African-American,0,0,0,4,(F3),Att Tamper w/Physical Evidence,1,0
Male,32,African-American,0,0,0,4,(F3),Att Tamper w/Physical Evidence,1,0
Male,63,African-American,0,0,0,0,(M1),Battery,0,0
Male,27,Hispanic,0,0,0,2,(F3),Possession of Cocaine,0,0
Male,55,Caucasian,0,0,0,0,(F3),arrest case no charge,0,0
Male,29,Caucasian,0,0,0,0,,,-1,0
Male,32,African-American,0,0,0,15,(F3),Felony Petit Theft,0,0
Male,38,African-American,0,0,2,5,(F3),Burglary Structure Assault/Batt,0,0
Male,38,African-American,0,0,2,5,(F3),Burglary Structure Assault/Batt,0,0
Male,38,African-American,0,0,2,5,(F3),Burglary Structure Assault/Batt,0,0
Male,53,Caucasian,0,0,0,19,(F3),Fel Drive License Perm Revoke,0,0
Male,53,Caucasian,0,0,0,19,(F3),Fel Drive License Perm Revoke,0,0
Male,49,Other,0,0,0,7,(F3),Agg Fleeing and Eluding,1,0
Male,49,Other,0,0,0,7,(F3),Agg Fleeing and Eluding,1,0
Male,49,Other,0,0,0,7,(F3),Agg Fleeing and Eluding,1,0
Male,26,Caucasian,0,0,2,6,(M2),Operating W/O Valid License,0,0
Male,26,Caucasian,0,0,2,6,(M2),Operating W/O Valid License,0,0
Male,26,Caucasian,0,0,2,6,(M2),Operating W/O Valid License,0,0
Female,33,Caucasian,0,0,0,4,(M1),Battery,1,0
Female,33,Caucasian,0,0,0,4,(M1),Battery,1,0
Female,33,Caucasian,0,0,0,4,(M1),Battery,1,0
Female,33,Caucasian,0,0,0,4,(M1),Battery,1,0
Male,24,Caucasian,0,0,0,1,(M1),Battery,1,0
Male,24,Caucasian,0,0,0,1,(M1),Battery,1,0
Male,34,African-American,2,1,3,21,(F2),Poss Wep Conv Felon,1,0
Male,34,African-American,2,1,3,21,(F2),Poss Wep Conv Felon,1,0
Male,34,African-American,2,1,3,21,(F2),Poss Wep Conv Felon,1,0
Male,34,African-American,2,1,3,21,(F2),Poss Wep Conv Felon,1,0
Male,29,Caucasian,0,0,0,0,(M1),Possess Cannabis/20 Grams Or Less,0,0
Female,21,African-American,0,0,0,2,(F2),arrest case no charge,0,0
Female,21,African-American,0,0,0,2,(F2),arrest case no charge,0,0
Female,21,African-American,0,0,0,2,(F2),arrest case no charge,0,0
Female,21,African-American,0,0,0,2,(F2),arrest case no charge,0,0
Male,51,African-American,0,0,0,2,(M1),Unlaw Use False Name/Identity,0,0
Male,36,African-American,0,0,0,0,,,-1,0
Male,29,Caucasian,0,0,0,2,(M1),Viol Injunct Domestic Violence,1,0
Male,29,Caucasian,0,0,0,2,(M1),Viol Injunct Domestic Violence,1,0
Male,25,African-American,0,0,0,0,(F2),Burglary Unoccupied Dwelling,0,0
Male,25,African-American,0,0,0,0,(F2),Burglary Unoccupied Dwelling,0,0
